141,216-J ,14,SYN.BRA. 1 
142,216-J ,15,SYN.BRA. 2 
143,216-J ,16,SYN.BRA. 3 
144,216-J ,17,SYN.BRA. 4 
145,216-J ,18,SYN.BRA. 5 
146,216-J ,19,SYN.BRA. 6 
147,216-J ,20,SYN.BRA. 7 
148,216-J ,21,SYN.BRA. 8 
149,216-J ,22,SYN.BRA. 9 
150,216-J ,23,SYN.BRA.10 
151,216-J ,24,SYN.BRA.11 
152,216-J ,25,SYN.BRA.12 
153,216-J ,26,SYN.BRA.13 
154,216-J ,27,SYN.LEAD 1 
155,216-J ,28,SYN.LEAD 2 
156,216-J ,29,SYN.LEAD 3 
157,216-J ,30,SYN.LEAD 4 
158,216-J ,31,SYN.LEAD 5 
159,216-J ,32,SYN.LEAD 6 
160,216-K ,1,SYN.BASS 7 
161,216-K ,2,SYN.BASS 8 
162,216-K ,3,SYN.BASS 9 
163,216-K ,4,SYN.BASS10 
164,216-K ,5,SYN. VOX 1 
165,216-K ,6,SYN. VOX 2 
166,216-K ,7,SYN. VOX 3 
167,216-K ,8,SYN. VOX 4 
168,216-K ,9,SYN. VOX 5 
169,216-K ,10,SYN. VOX 6 
170,216-K ,11,SYN.ORG. 1 
171,216-K ,12,SYN.ORG. 2 
172,216-K ,13,SYN.ORG. 3 
173,216-K ,14,SYN.ORG. 4 
174,216-K ,15,SYN.ORG. 5 
175,216-K ,16,SYN.ORG. 6 
176,216-K ,17,SYN.MARIM. 
177,216-K ,18,SYN.CLAVI. 
178,216-K ,19,SYN.HARMO. 
179,216-K ,20,SYN.ORCHE. 
180,216-K ,21,SYN.CHIM.1 
181,216-K ,22,SYN.CHIM.2 
182,216-K ,23,SYN.S.DRUM 
183,216-K ,24,SYN.RECOR. 
184,216-K ,25,SYN.GUITAR 
185,216-K ,26,SYN.FLUTE 
186,216-K ,27,SYN.XYLOPH 
187,216-K ,28,SYN.SITAR 
188,216-K ,29,SYN.GLOC.1 
189,216-K ,30,SYN.GLOC.2 
190,216-K ,31,SYN.GLOC.3 
191,216-K ,32,SYN.GLOC.4 
192,816-C ,1,PNO.B 1.3 
193,816-C ,2,STRG.H.2.3 
194,816-C ,3,P.ORG 3.3 
195,816-C ,4,VOICE 4.3 
196,816-C ,5,TRMPT 5.3 
197,816-C ,6,E.TPNO 6.3 
198,816-C ,7,CELLO 7.3 
199,816-C ,8,B.ORG 8.3 
200,816-C ,9,M.HORN 9.3 
201,816-C ,10,F.SWP 10.3 
202,816-C ,11,M.PNO 11.3 
203,816-C ,12,CHIPB 12.3 
204,816-C ,13,E.ORG 13.3 
205,816-C ,14,BCBRS 14.3 
206,816-C ,15,A.GTR 15.3 
207,816-C ,16,T.RSE 16.3 
208,816-C ,17,A.PNO 17.3 
209,816-C ,18,DM.VC.18.3 
210,816-C ,19,ADTVE 19.3 
211,816-C ,20,SYNBS 20.3 
212,816-C ,21,VIOLN 21.3 
213,816-C ,22,T.TRP 22.3 
214,816-C ,23,CELLO 23.3 
215,816-C ,24,OBOBC 24.3 
216,816-C ,25,RECDR 25.3 
217,816-C ,26,BANJO 26.3 
218,816-C ,27,MGORG 27.3 
219,816-C ,28,KOTO 28.3 
220,816-C ,29,SMOOH 29.3 
221,816-C ,30,OCEAN 30.3 
222,816-C ,31,CLSTE 31.3 
223,816-C ,32,TDBLS 32.3 
224,816-D ,1,AC.PNO 1.4 
225,816-D ,2,STRG.H.2.4 
226,816-D ,3,P.ORG 3.4 
227,816-D ,4,VOICE 4.4 
228,816-D ,5,TRMPT 5.4 
229,816-D ,6,E.TPNO 6.4 
230,816-D ,7,CELLO 7.4 
231,816-D ,8,B.ORG 8.4 
232,816-D ,9,M.HORN 9.4 
233,816-D ,10,F.SWP 10.4 
234,816-D ,11,W.PNO 11.4 
235,816-D ,12,HNDRM 12.4 
236,816-D ,13,E.ORG 13.4 
237,816-D ,14,BCBRS 14.4 
